randomize,resolution,AID,IED,Conductance,Modularity,N_Community,Max_Dim_Community
True,0.0,1.0512707224146105,0.4633160644749379,0.7507932202250304,0.07742726726679093,939,7598
True,0.1,0.8162665584976243,0.41498034554040747,0.790242882342168,0.08346492660652752,1449,7348
True,0.2,0.9314102133816282,0.43008316953800135,0.7901650021977932,0.1282353103301748,1631,6612
True,0.3,1.1236393769707504,0.46997218019280185,0.7692580693980181,0.16316831499107687,1601,6309
True,0.4,1.2045701528827464,0.48476887395041296,0.7710133244028494,0.18029271196702426,1746,5630
True,0.5,1.2816499273846766,0.5101088745052866,0.7611030107999132,0.25575809270548905,1839,4777
True,0.6,2.379355163007152,0.8891911836207916,0.5302339381173156,0.3129640766185924,939,5953
True,0.7,2.6444822574308837,0.9364250997036481,0.4992593358035844,0.33797199190511656,933,5546
True,0.8,2.9833796877818237,0.8642294858982005,0.25327912367818695,0.3859702198420992,205,5993
True,0.9,2.161151554023937,0.9118827484928447,0.36027900522494827,0.41019691476771064,339,4751
False,0.0,1.012506964718867,0.4379933645857554,0.7629884533280102,0.08756523581616149,999,7511
False,0.1,0.8838032486772951,0.41582158080403625,0.7968476431261047,0.10825801277162153,1695,6595
False,0.2,0.9610206952740385,0.4266221652184805,0.789764857532932,0.13935819750930947,1706,6310
False,0.3,1.0506112685397755,0.44099726790777444,0.784374225092215,0.1674922997038096,1740,5940
False,0.4,1.1667642200684938,0.4678657061416124,0.7775053771932009,0.21557104683743486,1821,5372
False,0.5,1.2380250674861994,0.4844300390058506,0.7737657764730808,0.2366382177866015,1909,4819
False,0.6,2.678304785471532,0.941209876294359,0.48591586030964706,0.30954779136115607,856,6279
False,0.7,2.6587508327712346,0.936078093279669,0.5029490733680899,0.32758234410890547,958,5690
False,0.8,2.6101985491988486,0.9286432486309069,0.5166932092675576,0.35214354382683405,1047,4865
False,0.9,2.1706987916841944,0.9089663717669735,0.35805420995954007,0.40827262539204157,336,4868
True,0.0,0.8936144928144325,0.42762549529238725,0.7677784938784863,0.06121212613437703,950,7846
True,0.1,0.9186515771268234,0.44380045248500016,0.7856498717487777,0.10457905332679218,1663,6427
True,0.2,0.9550957890148388,0.4338065209100362,0.7809184916616843,0.1180440410448432,1583,6628
True,0.3,1.1427576074016275,0.4634438989132407,0.7739671595678148,0.219938876867031,1730,5478
True,0.4,1.1415452580050347,0.47204491493140144,0.7715228265004331,0.16240233926594216,1727,5830
True,0.5,1.219638894686471,0.4834027166295481,0.7703671808684198,0.24766355386574915,1829,4983
True,0.6,2.608888352193401,0.9373105203941228,0.49121183827274617,0.3151827900616807,876,6180
True,0.7,2.5981021147665526,0.9096119956928376,0.5130805783967295,0.34484169170283224,978,4943
True,0.8,2.945835960359145,0.8657324187218207,0.24319353311532613,0.4029281836218383,187,5425
True,0.9,2.9199771315167147,0.8557823922717034,0.25027788342469687,0.424988880880835,190,5075
False,0.0,1.012506964718867,0.4379933645857554,0.7629884533280102,0.08756523581616149,999,7511
False,0.1,0.8838032486772951,0.41582158080403625,0.7968476431261047,0.10825801277162153,1695,6595
False,0.2,0.9610206952740385,0.4266221652184805,0.789764857532932,0.13935819750930947,1706,6310
False,0.3,1.0506112685397755,0.44099726790777444,0.784374225092215,0.1674922997038096,1740,5940
False,0.4,1.1667642200684938,0.4678657061416124,0.7775053771932009,0.21557104683743486,1821,5372
False,0.5,1.2380250674861994,0.4844300390058506,0.7737657764730808,0.2366382177866015,1909,4819
False,0.6,2.678304785471532,0.941209876294359,0.48591586030964706,0.30954779136115607,856,6279
False,0.7,2.6587508327712346,0.936078093279669,0.5029490733680899,0.32758234410890547,958,5690
False,0.8,2.6101985491988486,0.9286432486309069,0.5166932092675576,0.35214354382683405,1047,4865
False,0.9,2.1706987916841944,0.9089663717669735,0.35805420995954007,0.40827262539204157,336,4868
