Id,Community
fossilfuels,0
climateaction,0
climatecrisis,0
fridaysforfuture,0
peoplenotprofit,0
climatestrike,0
actnow,0
climateemergency,0
climateactionnow,0
uprootthesystem,0
climatejustice,0
planet,0
stopeacop,0
climatestrikeonline,0
schoolstrike4climate,0
savesoil,0
climatechange,0
facetheclimateemergency,0
conservation,0
digitalstrike,0
boomersforclimatejustice,0
systemchange,0
twiff,0
gretathunberg,0
stopcambo,0
india,0
justtransition,0
stockholm50,0
ilmastolakko,0
eusolidaritycorps,0
environmentaljustice,0
markcarney,0
sweden,0
ecocide,0
earthday2022,0
earthday,0
nomoreemptypromises,0
earthkeepersunite,0
cop26,0
oilprices,0
covid19,0
putinswar,0
oligarchs,0
peace4climate,0
cop26glasgow,0
policymakers,0
wtpearth,0
sustainablesolutions,0
nytonpakko,0
fairshare,0
justtransitionmossmorran,0
planetb,0
factoryfarming,0
climagechange,0
irtiturpeesta,0
vote,0
supplychains,0
washingtondc,0
frontline,0
actonclimate,0
emissions,0
heatwave,0
cambioclimático,0
globalwarming,0
fridays4future,0
worldenvironmentday,0
plasticfree,0
airpollution,0
climatechangeisreal,0
savetheplanet,0
consciousplanet,0
globalclimatestrike,0
climatepromise,0
biodiversityday,0
klimaatstaking,0
emergenciaclimatica,0
climatestrikecanada,0
chile,0
yomarcho,0
yellowknife,0
chilemarcha,0
savesoilbengaluru,0
climasv,0
peoplepower,0
mapa,0
fasting,0
striking,0
climatejusticenow,0
mindthegap,0
globalwarmingisreal,0
bangladesh,0
nomoreemptypromise,0
humanity,0
recycled,0
plasticwaste,0
endfossilfuels,0
earthdayis365days,0
climatecatastrophe,0
parisagreement,0
nowar,0
sharon,0
resisters,0
rjo,0
climatebrawl,0
schoolstrikeforclimate,0
schoolstrike,0
sadhguru,0
biodiversity,0
lossanddamage,0
riseupmovement,0
stopglobalwarming,0
world,0
thereisnoplanetb,0
followbackfriday,0
globalgoals,0
noplanetb,0
klimaat,0
fightfor1point5,0
restoreourearth,0
justiceclimatique,0
climateactivist,0
worldclimateactivist,0
africanclimatealliance,0
trees,0
気候危機見て見ぬふりはもうできない,0
peopleoverprofit,0
youthstrike4climate,0
heatwaves,0
foodsystems,0
savecongorainforest,0
climatecantwait,0
climatefinance,0
thinkgreenactgreen,0
kippraconference2022,0
climateenergysummit,0
onlyoneearth,0
aws22,0
educategirlsforclimatejustice,0
letafghangirlslearn,0
fffportlandmetro,0
unitebehindthescience,0
fridaysforfuturehamburg,0
hamburg,0
extinction,0
endplasticpollution,0
finland,0
worldoceansday,0
cycling,0
floods,0
brazil,0
onpoli,0
elxn43,0
helsinki,0
ilmasto,0
ilmastokriisi,0
ilmastonmuutos,0
cop27,0
makeparisreal,0
activists,0
droughts,0
wildfires,0
climatecriminals,0
climatereparations,0
savefuturebangladesh,0
strike4climate,0
keepitintheground,0
lifesbetterwithtrees,0
kokumsforclimate,0
eacop,0
bankingonabetterfuture,0
nocgl,0
wetsuwetenstrong,0
forpeopleforplanet,0
biodiversitycrisis,0
climatemarch,0
climatedisaster,0
edinburghclimatestrike,0
standforplanet,0
lettheearthbreath,0
scientistrebellion,0
saveearth,0
letearthbreathe,0
savethetrees,0
waterpollution,0
toronto,0
sdg13,0
covid,0
climatebreakdown,0
climatehopeful,0
youth,0
goodfriday,0
goodfriday2022,0
afrikavuka,0
climatereport,0
saveplanetearth,0
universitystrikeforclimate,0
buildbackbetter,0
week,0
cleannfts,0
ipccreport,0
children,0
crisisclimática,0
guwahati,0
assam,0
youthforclimate,0
gta,0
topoli,0
brighters,0
bsb,0
fridaysforfuturebangladesh,0
actionaidbangladesh,0
fffbd,0
youthclimatestrike,0
globalstrike,0
globalclimateaction,0
antarctica,0
lucknow,0
elokapina,0
dochooserenewables,0
ilmastotekoja,0
planttrees,0
save_tree,0
action4impact,0
plants,0
phaseoutgas2030,0
crisisoninfiniteearths,0
racialjustice,0
blackhistorymonth,0
environmentalism,0
climatelive2022,0
savegreen,0
savenature,0
fff_bangladesh,0
skolstrejkförklimatet,0
suomi,0
plasticpollution,0
vulnerabilities,0
visualimpairments,0
disasters,0
11febbraio,0
ireland,0
emptypromises,0
wecandothis,0
covid_19,0
theworldiswatching,0
fridaysforfutureindia,0
mumbai,0
womensclimatestrike,0
kids,0
environmentalprotection,0
greencolonialism,0
fornature,0
blacklivesmatter,0
defendthedefenders,0
blahblahblah,0
fightfor15,0
vancouver,0
bcpoli,0
cdnpoli,0
stoptmx,0
stopcgl,0
happynewyear2022,0
christmas,0
climatestrikes,0
happyholidays,0
wetsuweten,0
vanpoli,0
stockholm,0
crisis,0
fastingfridaysforfuture,0
victoriabc,0
страйкзаклімат,0
blackfriday,0
nomoreemptywords,0
kretslopp,0
klimatkris,0
climate360sa,0
femanism,0
climategirl,0
copout26,0
glasgow,0
climatescience,0
glasgowcop26,0
klimaatmars,0
sustainablegoodlife,0
ndcs,0
learningsociety,0
nuclearpower,0
exitcoalnow,0
netzeroneedsnuclear,0
nucléaire,0
forabolsonaro,0
cen,0
g20,0
pressphotography,0
news,0
divest,0
fffmapcount,0
climatestriking,0
whatthecop,0
copon4net,0
envirocoresubject,0
cleanupstandardchartered,0
treemendous,0
treesarmy,0
phoenix,0
urbanforests,0
gender,0
worldleaders,0
peopleb4profit,0
cop26plastics,0
dhaka,0
climatecompensation,0
tellthetruth,0
lakedistrict,0
windermere,0
river,0
lake,0
mondaymotivaton,0
gippsnews,0
forests,0
climatechangedme,0
timetoact,0
savefairycreek,0
11thhourforclimate,0
tiredearth,0
marchaporelclima,0
24s,0
justiciaporelclima,0
24septiembre,0
rebelforlife,0
unga,0
ecologia,0
planeta,0
climateweek,0
luxembourg,0
世界気候アクション0924,0
住友商事の森林破壊を許さない,0
stayhome,0
kenya,0
tourism,0
sttaconsulting,0
sustainabletourism,0
nutrition,0
elxn44,0
greenhouse,0
savetheearth,0
nomoreemptysummits,0
treatacrisislikeacrisis,0
climatecrisisis,0
climatestike,0
agriculture,0
victim,0
solution,0
foodsystemshas,0
socialjustice,0
denialmachine,0
betterfuture,0
canada,0
globalclimatejustice,0
withdrawthecap,0
extremeweather,0
fires,0
climateactionplan,0
stopdeforestation,0
decarbonizing,0
netzstreikfuersklima,0
greece,0
globalstrikeforfuture,0
iyd2021,0
notblownwithcyclone,0
cliamtestrike,0
socialjusticeisclimatejustice,0
savebuxwahaforest,0
flattenthecurve,0
borneo,0
saveborneorainforest,0
savebaritoriver,0
flooding,0
extreme,0
thinkglobal,0
actlocal,0
pollutersout,0
girlpower,0
listentoexperts,0
climatebrainy,0
climatecrisisbangladesh,0
bangladeshalreadysuffering,0
transpride,0
digitalprotest,0
fridaystrikeforclimate,0
geethikavenkatesan,0
globalheating,0
unitedkingdom,0
पेड़_लगाओ_पृथ्वी_बचाओ,0
planttreesaveearth,0
planttree,0
youthtakeover,0
saveaareyforest,0
plantalife,0
choices,0
lockdown,0
digitalclimatestrike,0
marcodecanaveses,0
ilmastovaalit,0
11thhourforclimat,0
snösätra,0
worldenvironmentday2021,0
youth2030,0
caminodesantiago,0
beyondcoal,0
raiseyourstandards,0
climatetwitter,0
未来のための金曜日,0
cycloneamphan,0
ravensburg,0
nomowmay,0
ethicalandinformedcitizens,0
ocsbsep,0
youngpeopleforclimateaction,0
standwithworkers,0
bicycle,0
canpoli,0
klimaurteil,0
coronavirus,0
温室効果ガス削減目標の大幅引き上げを求めます,0
peat,0
savetheoceans,0
stopeumercosur,0
気候危機止めるために学校休みます,0
banplastic,0
plasticfreeocean,0
childrenareourfuture,0
euclimatelaw,0
endplastic,0
climatepledge,0
peaceuponyemen,0
yemencantwait,0
amankumar,0
marcheclimat,0
vraieloiclimat,0
16avril,0
nantes,0
marchepourleclimat,0
climatresilience,0
iamgreta,0
intergenerational,0
climatecrises,0
climatealliance,0
climaterisk,0
savebugomaforest,0
kabila4sdgs,0
ethoslifestyle,0
generationclimat,0
climatepoli,0
fffmar19,0
私たちの未来を手放さない,0
protecttheoceans,0
womensday,0
fightforyourhumanright,0
climateart,0
stayathome,0
nzpol,0
cumbriacoalmine,0
ukgov,0
throwback,0
askgerald,0
気候危機に特効薬なし,0
気候も危機,0
greenspaces,0
parisclimateagreement,0
digitalstrikesapporo,0
teamcows,0
laniña,0
indiagate,0
newdelhi,0
nomoreemptypomises,0
actnowforfuture,0
saveourselves,0
savehumanity,0
madrid,0
socialdistancing,0
eu2020de,0
indigenousrights,0
fightclimateinjustice,0
wethepeople,0
gambia,0
christmas2020,0
greenchristmas,0
bushfires,0
hoax,0
firedrillfriday,0
shoestrike,0
endcapitalism,0
endfactoryfarming,0
saveamazonia,0
世界気候アクション0925,0
internationalhumanrightsday,0
euco,0
watchlive,0
wewanttolive,0
covidー19,0
endperiodplastic,0
papua,0
cop25,0
unitednations,0
fundfarmersnotcoal,0
地球温暖化,0
saveourcoast,0
noforestnofuture,0
仙台,0
女川原発の再稼働に反対します,0
priorities,0
online,0
2ndlockdown,0
気候非常事態宣言,0
withdraweia2020,0
filthyrich,0
金曜日アクション,0
erneuerbar,0
fffdigital,0
savewesternghats,0
davidattenborough,0
alifeonourplanet,0
ecoschool,0
cleavageforclimate,0
ilmastotwitter,0
greenrecovery,0
greeningtheasals,0
dkpol,0
シューズアクション,0
climatestrikers,0
climateshoesaction,0
