Source,Target,Count
klimakrise, govegan,1
klimakrise, climatestrike,1
klimakrise, fridaysforfuture,37
klimakrise, actnow,1
klimakrise, climatecrisis,1
klimakrise, climateemergency,1
klimakrise, climatejustice,3
klimakrise, climatejusticenow,1
klimakrise, climateactionnow,1
klimakrise, klimaschutz,9
klimakrise, klimawandel,3
klimakrise, atomkraft,1
klimakrise, habeck,1
klimakrise, klimakrise,2
klimakrise, cdu,1
klimakrise, fff,2
klimakrise, endegelaende,2
klimakrise, energiewende,2
klimakrise, klimakatastrophe,1
klimakrise, neubauer,2
klimakrise, langstreckenluisa,1
klimakrise, parentsforfuture,1
klimakrise, gasstop,1
klimakrise, tankrabatt,1
klimakrise, verkehrswende,1
klimakrise, ipcc,1
klimakrise, nordstream2,1
klimakrise, niemehrcdu,1
klimakrise, earthday,1
klimakrise, vegan,2
klimakrise, berlin,1
klimakrise, fortheanimals,1
klimakrise, hunger,1
klimakrise, afd,1
klimakrise, klimastreik,3
klimakrise, klimagerechtigkeit,2
klimakrise, pandemie,1
klimakrise, corona,2
klimakrise, covid_19,1
klimakrise, covid19,1
klimakrise, klimaschutzgesetz,2
klimakrise, grübe,1
klimakrise, thunberg,1
klimakrise, grünen,1
klimakrise, klimaproteste,1
klimakrise, kohleausstieg,2
klimakrise, tellthetruth,1
klimakrise, scientists4future,3
klimakrise, klimagebet,1
klimakrise, klimapolitik,2
klimakrise, erderwärmung,1
klimakrise, datteln4,1
klimakrise, klimafrage,1
klimakrise, dürre,1
klimakrise, klimanotstand,1
klimakrise, wdr,1
klimakrise, linkebpt,1
klimakrise, kurzstreckenflüge,1
klimakrise, keingradweiter,1
klimakrise, klimaarschlöcher,1
klimakrise, windkraft,1
klimakrise, tazlab2021,1
klimakrise, endegelände,1
klimakrise, doppelmoral,1
klimakrise, niemehrcsu,1
klimakrise, fighteverycrisis,1
klimakrise, waldstattasphalt,1
klimakrise, fliegold,1
klimakrise, coronakrise,1
klimakrise, hambibleibt,2
klimakrise, erneuerbareenergien,1
klimakrise, keepcoalintheground,1
klimakrise, nrwe,1
klimakrise, klimapaket,1
klimakrise, endcoalnow,1
klimakrise, lexgarzweiler,1
klimakrise, trump,1
klimakrise, protest,1
klimakrise, garzweiler,1
klimakrise, kreuzfahrtschiffe,1
klimakrise, klimabewusstsein,1
klimakrise, groko,1
klimakrise, kanzlerin,1
klimakrise, cop25,1
klimakrise, klimahysterie,3
klimakrise, howdareyou,2
klimakrise, netzstreikfürsklima,1
klimakrise, trinkwasser,1
klimakrise, resilienz,1
klimakrise, togetherforfuture,1
klimakrise, windräder,1
