Source,Target,Count
fridaysforfuture,climatestrike,20
fridaysforfuture,uprootthesystem,15
fridaysforfuture,climatestrikeonline,14
fridaysforfuture,schoolstrike4climate,13
climatestrike,uprootthesystem,13
fridaysforfuture,nomoreemptypromises,13
climatestrike,climatestrikeonline,12
fridaysforfuture,climateaction,12
climatestrike,schoolstrike4climate,12
uprootthesystem,climateemergency,11
fridaysforfuture,fridayforfuture,11
climatestrikeonline,climateaction,11
uprootthesystem,climatestrikeonline,11
fridaysforfuture,climatecrisis,11
climatestrike,nomoreemptypromises,11
uprootthesystem,climateaction,11
climatestrike,climateaction,11
fridaysforfuture,climateemergency,11
climateaction,nomoreemptypromises,10
climatestrike,climatecrisis,10
climatestrike,fridayforfuture,10
climatecrisis,nomoreemptypromises,10
climatestrikeonline,schoolstrike4climate,10
fridaysforfuture,facetheclimateemergency,10
uprootthesystem,nomoreemptypromises,10
uprootthesystem,schoolstrike4climate,10
climatestrike,climateemergency,10
uprootthesystem,fridayforfuture,9
climateemergency,climatestrikeonline,9
climateaction,facetheclimateemergency,9
climateaction,schoolstrike4climate,9
nomoreemptypromises,fridayforfuture,9
climatestrikeonline,facetheclimateemergency,9
uprootthesystem,facetheclimateemergency,9
uprootthesystem,climatecrisis,9
climateemergency,climateaction,9
climateaction,climatecrisis,9
climateemergency,nomoreemptypromises,9
climateemergency,schoolstrike4climate,9
climatestrikeonline,climatecrisis,9
climatestrikeonline,nomoreemptypromises,9
climateaction,fridayforfuture,9
climatestrikeonline,gretathunberg,8
climatestrike,globalclimatestrike,8
climateaction,gretathunberg,8
climatestrikeonline,cop26,8
climateaction,cop26,8
fridaysforfuture,cop26,8
climatestrikeonline,fridayforfuture,8
fridayforfuture,cop26,8
uprootthesystem,globalclimatestrike,8
nomoreemptypromises,globalclimatestrike,8
fridaysforfuture,gretathunberg,8
climatecrisis,fridayforfuture,8
climatestrike,fightfor1point5,8
fridaysforfuture,globalclimatestrike,8
schoolstrike4climate,facetheclimateemergency,8
climatestrike,climateactionnow,8
fridaysforfuture,fightfor1point5,8
climateemergency,globalclimatestrike,8
fridaysforfuture,climateactionnow,8
climateemergency,gretathunberg,8
climatestrike,cop26,8
climatestrike,facetheclimateemergency,8
climateemergency,fridayforfuture,8
uprootthesystem,gretathunberg,8
uprootthesystem,cop26,8
nomoreemptypromises,gretathunberg,8
climateemergency,climatecrisis,8
climatestrike,gretathunberg,7
uprootthesystem,climateactionnow,7
uprootthesystem,mindthegap,7
fridayforfuture,fightfor1point5,7
climatestrikeonline,mindthegap,7
uprootthesystem,fightfor1point5,7
climatestrikeonline,globalclimatestrike,7
climateactionnow,nomoreemptypromises,7
fridaysforfuture,climatejustice,7
climateemergency,facetheclimateemergency,7
climatecrisis,globalclimatestrike,7
climateaction,fightfor1point5,7
climatejustice,climateemergency,7
nomoreemptypromises,cop26,7
schoolstrike4climate,globalclimatestrike,7
climatecrisis,climateactionnow,7
climatecrisis,schoolstrike4climate,7
climatejustice,uprootthesystem,7
climateemergency,cop26,7
schoolstrike4climate,gretathunberg,7
climatecrisis,gretathunberg,7
fridayforfuture,globalclimatestrike,7
climatecrisis,fightfor1point5,7
schoolstrike4climate,cop26,7
climateemergency,mindthegap,7
nomoreemptypromises,fightfor1point5,7
schoolstrike4climate,fridayforfuture,7
fridaysforfuture,mindthegap,7
nomoreemptypromises,facetheclimateemergency,7
gretathunberg,globalclimatestrike,7
climateaction,globalclimatestrike,7
climateaction,mindthegap,7
nomoreemptypromises,schoolstrike4climate,7
climatejustice,climateaction,6
climatejustice,climatestrikeonline,6
climatejustice,schoolstrike4climate,6
climatestrike,climatechange,6
gretathunberg,facetheclimateemergency,6
climatestrike,mindthegap,6
schoolstrike4climate,climatechange,6
mindthegap,facetheclimateemergency,6
mindthegap,gretathunberg,6
mindthegap,schoolstrike4climate,6
mindthegap,nomoreemptypromises,6
climatejustice,climatestrike,6
uprootthesystem,climatechange,6
climatechange,globalclimatestrike,6
climatecrisis,fff,6
climateaction,climateactionnow,6
climateaction,climatechange,6
climatestrikeonline,climatechange,6
fridayforfuture,gretathunberg,6
climatecrisis,facetheclimateemergency,6
climatestrikeonline,fff,6
climatestrikeonline,fightfor1point5,6
fridayforfuture,facetheclimateemergency,6
cop26,globalclimatestrike,6
climatechange,gretathunberg,6
climatecrisis,cop26,6
climatecrisis,climatechange,6
nomoreemptypromises,climatechange,6
climateemergency,climateactionnow,6
climateemergency,climatechange,6
climatestrike,fff,6
climateactionnow,fridayforfuture,6
climatestrikeonline,climateactionnow,6
cop26,gretathunberg,6
climateactionnow,fightfor1point5,6
cop26,facetheclimateemergency,6
climateactionnow,globalclimatestrike,6
fridaysforfuture,climatechange,6
fridaysforfuture,fff,6
climateactionnow,gretathunberg,5
fridays4future,fridayforfuture,5
fridays4future,cop26,5
uprootthesystem,digitalstrike,5
gretathunberg,glasgow,5
climateemergency,fightfor1point5,5
fridays4future,gretathunberg,5
uprootthesystem,fridays4future,5
fridaysforfuture,raiseyourstandards,5
fightfor1point5,globalclimatestrike,5
climatestrikeonline,glasgow,5
climateemergency,glasgow,5
nomoreemptypromises,raiseyourstandards,5
fff,fightfor1point5,5
schoolstrike4climate,glasgow,5
climatejustice,facetheclimateemergency,5
climatejustice,gretathunberg,5
mindthegap,globalclimatestrike,5
fridaysforfuture,digitalstrike,5
climateemergency,fridays4future,5
facetheclimateemergency,globalclimatestrike,5
fridaysforfuture,fridays4future,5
climatechange,cop26,5
cop26,fightfor1point5,5
climatestrikeonline,digitalstrike,5
climatestrikeonline,fridays4future,5
fridayforfuture,climatechange,5
fridayforfuture,glasgow,5
cop26,fff,5
nomoreemptypromises,cleanupstandardchartered,5
