clean_tags,hashtags,date,Year,Month,Day,user_id,username,name,tweet,language,mentions,replies_count,retweets_count,likes_count,link,retweet,reply_to
"fridaysforfuture, climatestrike, climateemergency, climatestrikeonline","['fridaysforfuture', 'climatestrike', 'climateemergency', 'climatestrikeonline']",2021-01-01,2021,1,1,2159967748,brothadestin,Destin M. Sempijja 🇺🇬,#FridaysForFuture we wish u a happy new year 2021 #ClimateStrike #ClimateEmergency #ClimateStrikeOnline  https://t.co/SkuwA9FV0z,en,[],6,32,62,https://twitter.com/brothadestin/status/1345011220571693057,False,[]
"climatestrike, newyear, climatecrisis, climatechange, climatestrikeonline, fridaysforfuture","['climatestrike', 'newyear', 'climatecrisis', 'climatechange', 'climatestrikeonline', 'fridaysforfuture']",2021-01-01,2021,1,1,1083095649372065793,anikadafert,Anika Dafert,#ClimateStrike week 100!   Happy #NewYear! Today marks 100 weeks of striking for the climate. My life has changed drastically since the first week. But climate politics hasn't. This is why we will keep going!  #ClimateCrisis #climatechange #ClimateStrikeOnline #FridaysForFuture  https://t.co/IHLDxxyRvX,en,[],31,224,1407,https://twitter.com/anikadafert/status/1344994351605280770,False,[]
"happynewyear2021, fridaysforfuture","['happynewyear2021', 'fridaysforfuture']",2021-01-01,2021,1,1,1068337838,luisamneubauer,Luisa Neubauer,Frohes neues Jahr und danke an das Internet dafür. 😂 Sobald wie möglich sehen wir uns an Freitagen wieder auf den Straßen. Can’t wait. #HappyNewYear2021 #FridaysForFuture  https://t.co/X4m2RJxZoq,de,[],555,341,6576,https://twitter.com/Luisamneubauer/status/1344997597904302081,False,[]
"deutschunterricht, fridaysforfuture, fff","['deutschunterricht', 'fridaysforfuture', 'fff']",2021-01-01,2021,1,1,4821992621,boesmensch60488,Bösmensch 🇩🇪🇦🇲,"Das kommt dafon, wenn man das #Deutschunterricht schwänzt...  #FridaysForFuture #FFF",de,[],7,6,36,https://twitter.com/Boesmensch60488/status/1345001156012089346,False,[]
"climatestrikeonline, digitalstrike, fridaysforfuture","['climatestrikeonline', 'digitalstrike', 'fridaysforfuture']",2021-01-01,2021,1,1,1205202374765232130,tomstweeters,Tom #StandWithUkraine 🇺🇦,"#ClimateStrikeOnline #DigitalStrike for #FridaysForFuture I'm exited to start a new year of climate activism. A whole year full of opportunities for real climate action, a whole year of waking up the global leadership and demand them to use each and every 1 of those opportunities  https://t.co/JeiKsi8GGQ",en,[],4,15,35,https://twitter.com/TomsTweeters/status/1345004954348621829,False,[]
"schoolstrike4climate, fridaysforfuture","['schoolstrike4climate', 'fridaysforfuture']",2021-01-01,2021,1,1,1100423496813998081,namugerwaleah,Leah Namugerwa,This is week 99 #schoolstrike4climate in Uganda. The struggle continues... #FridaysForFuture  https://t.co/ob87fBdEBR,en,[],19,229,1964,https://twitter.com/NamugerwaLeah/status/1345006249277059072,False,[]
"climatestrikeonline, fridaysforfuture, fightfor1point5","['climatestrikeonline', 'fridaysforfuture', 'fightfor1point5']",2021-01-01,2021,1,1,952636350158819328,rhosking252,Robert Redmayne Hosking,🆘🆘🆘🗣️📢🆘🔥🌍🔥🆘🌿 Week 38: And The First Fridays For Future Climate Strike Of 2021.!✌️💚🌍💚🌿 #ClimateStrikeOnline 🗣️📢🆘🌍🆘🌿 #FridaysForFuture @Fridays4future 🌍🌿 @GretaThunberg #FightFor1Point5 ✊🆘🔥🌍🔥🆘🌿 @fff_digital 🌿🆘🆘🌍🆘🆘🔥  https://t.co/YFvRtsuQwK,en,"[{'screen_name': 'fridays4future', 'name': 'fridays for future', 'id': '1053768884732547072'}, {'screen_name': 'gretathunberg', 'name': 'greta thunberg', 'id': '1006419421244678144'}, {'screen_name': 'fff_digital', 'name': 'dni check pinned fridays for future digital', 'id': '1200885655653498882'}]",6,19,45,https://twitter.com/rhosking252/status/1345008853067456514,False,[]
"fridaysforfuture, happynewyear2021, 2021year, bye2020, facetheclimateemergency","['fridaysforfuture', 'happynewyear2021', '2021year', 'bye2020', 'facetheclimateemergency']",2021-01-01,2021,1,1,4895104294,patriciakombo,Patricia kombo,Happy new year Stand up for nature #FridaysForFuture  #HappyNewYear2021  #2021year  #Bye2020  @GretaThunberg  #FaceTheClimateEmergency  https://t.co/xXDpqDC1Op,en,"[{'screen_name': 'gretathunberg', 'name': 'greta thunberg', 'id': '1006419421244678144'}]",30,206,1223,https://twitter.com/patriciakombo/status/1345009493931921408,False,[]
"2021year, happynewyear2021, schoolstrike4climate, fridaysforfuture","['2021year', 'happynewyear2021', 'schoolstrike4climate', 'fridaysforfuture']",2021-01-01,2021,1,1,917397799972605953,nakabuyehildaf,Nakabuye Hilda F.,"The future is uncertain but I believe it is worth fighting for.   Am up and standing on spending these 12months, 365 days of #2021year fighting for a future coming generations deserve.  Who's in?   #HappyNewYear2021 #schoolstrike4climate  #FridaysForFuture  https://t.co/w0U6PFXZWt",en,[],14,77,302,https://twitter.com/NakabuyeHildaF/status/1345011277287059456,False,[]
"digitalstrike, climatestrikeonline, fridaysforfuture, boomersforclimatejustice","['digitalstrike', 'climatestrikeonline', 'fridaysforfuture', 'boomersforclimatejustice']",2021-01-01,2021,1,1,1145763823,davidpmerriam,David P Merriam,"#DigitalStrike week 43 2021: New year, old crisis, and the campaign goes on. But there is renewed hope that we can make changes for the good of all humankind. Happy New Year! #ClimateStrikeOnline #FridaysForFuture #BoomersForClimateJustice @ClimateCrisis @JoeBiden @JohnKerry  https://t.co/YP6OdBp6u1",en,"[{'screen_name': 'climatecrisis', 'name': 'select committee on the climate crisis', 'id': '1109185600354242563'}, {'screen_name': 'joebiden', 'name': 'joe biden', 'id': '939091'}, {'screen_name': 'johnkerry', 'name': 'john kerry', 'id': '15007149'}]",2,4,12,https://twitter.com/davidpmerriam/status/1345083816071856128,False,[]
"climatestrikeonline, fridaysforfuture","['climatestrikeonline', 'fridaysforfuture']",2021-01-01,2021,1,1,293486313,tonepersson,Tone🌻,"System change, not climate change.  this last year we have seen that we need it more than ever,  for so many reasons. I will not give up, and neither should you #ClimateStrikeOnline #fridaysforfuture  https://t.co/H6C345NNtC",en,[],2,6,29,https://twitter.com/TonePersson/status/1345020599152869377,False,[]
"fridaysforfuture, climatestrikeonline","['fridaysforfuture', 'climatestrikeonline']",2021-01-01,2021,1,1,1083421737574977536,fff_muc,FridaysForFuture München,2021 ist erst wenige Stunden alt und schon gibt es unserern ersten Netzstreik im Jahr 2021!  🥳🔥  #FridaysforFuture #ClimateStrikeOnline  https://t.co/Gp6GQt4dZo,de,[],2,13,85,https://twitter.com/fff_muc/status/1345021477284929536,False,[]
"protectthearctic, climatejusticeisracialjustice, digitalstrike, climatestrikeonline, defendthesacredak, climatenews, fridaysforfuture","['protectthearctic', 'climatejusticeisracialjustice', 'digitalstrike', 'climatestrikeonline', 'defendthesacredak', 'climatenews', 'fridaysforfuture']",2021-01-01,2021,1,1,1207312264161832960,harunanysumaiya,sumaiya harunany,#ProtectTheArctic #climatejusticeisracialjustice #digitalstrike #ClimateStrikeOnline #defendthesacredak #climatenews #FridaysForFuture  @fff_digital @GretaThunberg  https://t.co/XG0H7FDppS,qme,"[{'screen_name': 'fff_digital', 'name': 'dni check pinned fridays for future digital', 'id': '1200885655653498882'}, {'screen_name': 'gretathunberg', 'name': 'greta thunberg', 'id': '1006419421244678144'}]",2,12,41,https://twitter.com/HarunanySumaiya/status/1345022402116407297,False,[]
"climatestrikeonline, fridaysforfuture, schoolstrike4climate, facetheclimateemergency","['climatestrikeonline', 'fridaysforfuture', 'schoolstrike4climate', 'facetheclimateemergency']",2021-01-01,2021,1,1,1006419421244678144,gretathunberg,Greta Thunberg,"School strike week 124. New year, same crisis. Because of the ongoing pandemic we are doing #climatestrikeonline  #fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency  https://t.co/ETS3O07K2M",en,[],288,1616,13118,https://twitter.com/GretaThunberg/status/1345026049780965377,False,[]
