clean_tags,date,Month,tweet,language,replies_count,retweets_count,likes_count,Year,Day
fridaysforfuture,2021-12-31,12,19/19  ...1984 &amp; 1986 gingen die AKW Grohnde &amp; Brokdorf als letzte AKW in Deutschland in Betrieb.  Seit dem Beginn der großen Anti-AKW-Demos 1977 war keine neue AKW-Baustelle mehr begonnen worden. Ab 1986 schlossen sich Proteste gegen die Castor-Transporte an.  #FridaysForFuture  https://t.co/eBhbtKAwMY,german,5,3,9,2021,31
fridaysforfuture,2021-12-31,12,4/19  ...Anderthalb Jahre lang bleibt der Bauplatz in Wyhl besetzt. Dann gibt die Landesregierung Baden Württemberg das Projekt AKW Wyhl auf....  #FridaysForFuture    Unten: Walter Mossmann bei einem Auftritt im Freundschaftshaus Wyhl  https://t.co/rYWE8VUw3I,german,2,4,10,2021,31
fridaysforfuture,2021-12-31,12,"TIME TO SAY GOODBYE  Heute werden 3 der 6 deutschen AKW abgeschaltet. Neben dem AKW Gundremmingen auch die für die Anti-AKW-Bewegung symbolhaften AKW Brokdorf &amp; Grohnde  Zeit für einen Rückblick in die 70er &amp; 80er..  1/19  #FridaysForFuture AKW Brokdorf, Grohnde, Gundremmingen  https://t.co/YkNvZu6o5Q",german,3,17,46,2021,31
fridaysforfuture,2021-12-31,12,"Hogmanay school strike for climate (but in a place where they don’t call it Hogmanay, strange) week 150! #FridaysForFuture  https://t.co/Of6W8nwHaE",english,5,27,204,2021,31
"climatejustice, fridaysforfuture, climatestrike",2021-12-31,12,"We are victims of a crisis, One that we didn't create One that we don't deserve One that we must fight, a fight that must end with my generation because future generations deserve a safe planet.  We don't need any pity, we need #ClimateJustice  #FridaysForFuture #ClimateStrike  https://t.co/9XNx6a4MDc",english,33,329,1657,2021,31
"uprootthesystem, fridaysforfuture",2021-12-31,12,Do the right thing. Divest from fossil fuels and end human rights violations. School strike week 9. #UprootTheSystem #FridaysForFuture  https://t.co/ydbqidqbEQ,english,2,17,53,2021,31
"brokdorf, grohnde, gundremmingen, atomanlagen, gronau, lingen, atom, fossil, kohle, gas, klimaschutz",2021-12-31,12,"Endlich Stilllegung - gut so! AKWs #Brokdorf #Grohnde #Gundremmingen aus😃 Ein schritt weiter, nun müssen die anderen #Atomanlagen aus und #Gronau #Lingen nicht vergessen. Gemeinsam gegen #Atom #Fossil #Kohle #Gas für echten #Klimaschutz. @FridayForFuture @Ende__Gelaende",german,3,10,27,2021,31
"climatejustice, climateemergency, twiff, fridaysforfuture, sweden",2021-12-31,12,"Thank you for your activism in 2021!  Your activism gives me hope!  Happy and Safe 2022!  Can we expect the power holders to use just non violence?  #ClimateJustice! #ClimateEmergency!  Week 176, @FFFMapCount  #twiff, 2, #FridaysForFuture #Sweden,, Svedmyra, 2021-12-31  https://t.co/zpJ95DB9oo",english,5,21,72,2021,31
"climatestrike, fridaysforfuture",2021-12-31,12,"#ClimateStrike #FridaysForFuture   Hoy el último día del año 2021 invitó a reflexionar a todas las personas sobre la crisis climática, este año 2022 vienen grandes retos que como activistas debemos afrontar y seguir dando la lucha.  @GretaThunberg @franciscoactiv2  https://t.co/IMss0KYh1P",spanish,34,159,672,2021,31
"uprootthesystem, fridaysforfuture",2021-12-31,12,"School strike for climate action, Climate change is a global crisis everyone should come out and we solve the crisis #UprootTheSystem #FridaysForFuture  https://t.co/7TzDdVR3qk",english,3,63,251,2021,31
fridaysforfuture,2021-12-31,12,"2022 „wird das Jahr, in dem ich meinen Fokus aufs Systemische richte – und auf jene, die von dem zerstörerischen System profitieren: die Superreichen mit ihrem Killerkonsum und die Politiker:innen, die ihnen das ermöglichen.“ Guter Plan👍#FridaysForFuture  https://t.co/xgcJZRm9hB",german,7,22,104,2021,31
fridaysforfuture,2021-12-31,12,"Idag alldeles ensam på demonstrationen. Meditativt. Inte mkt folk el bilar, ganska tyst, inget regn, ingen blåst, varmt. Man funderar, hur ska det gå för oss?#FridaysForFuture  https://t.co/p5FDHNZxuB",swedish,37,5,105,2021,31
"climatestrikeonline, fridaysforfuture",2021-12-31,12,#climatestrikeonline #FridaysForFuture  https://t.co/VQdktQkAwS,qme,3,43,182,2021,31
fridaysforfuture,2021-12-31,12,"#FridaysforFuture, Dublin. Week 160.  New Year’s resolution - must join them every Friday 1-2pm @ the Dáil.   ⁦@GretaThunberg⁩  https://t.co/xlwNVJzQAi",english,5,33,130,2021,31
"conserve4christmas, fridaysforfuture",2021-12-31,12,A heartbreaking end to 2021: loss of homes and injuries from the Marshall Fire.  We urgently need to take action to cut climate pollution by 50% or more by 2030 and to safeguard our people and our property from climate-related disasters.  #Conserve4Christmas #FridaysforFuture,english,4,4,18,2021,31
"edinburghclimatestrike, climateaction, fridaysforfuture, climatestrike",2021-12-31,12,"#edinburghclimatestrike today!!! HAPPY HOGMANY, we are striking for #ClimateAction in 2022!! #FridaysForFuture #ClimateStrike @fff_edinburgh  https://t.co/FEf2qwWd9S",english,29,198,990,2021,31
"climatestrikeonline, fridaysforfuture, climateaction, climateemergency",2021-12-31,12,My 75 weeks. 良いお年をお迎えください🎍 #climatestrikeonline  #fridaysforfuture #climateaction                                 #ClimateEmergency  https://t.co/0Od34TB0Xa,japanese,4,26,227,2021,31
"fridaysforfuture, climatestrike",2021-12-31,12,"University strike week 96 Happy New Year!🎊 We keep fighting until it’s needed, because empty promises are different than actions. 2022 now and we’re still not even close to being in line with the Paris Agreement, and a just and equitable world…  #FridaysForFuture #ClimateStrike  https://t.co/hl4d9PnP0z",english,3,19,140,2021,31
lobaubleibt,2021-12-31,12,Wir sind schockiert und stehen solidarisch mit den betroffenen Aktivist*innen von #LobauBleibt,german,38,117,903,2021,31
"fridaysforfuture, climatestrike",2021-12-31,12,#FridaysForFuture #ClimateStrike week 176  The Fridays for Future map team is gearing up for a whole new year of climate activism. Wishing you all a happy new year and many activism successes!  https://t.co/p9Y5Cv5hrh Is your action not on the map👀⬇️ 1/n,english,2,17,19,2021,31
"digitalstrike, fridaysforfuture",2021-12-31,12,"#DigitalStrike for #FridaysForFuture 2021 is over, it did not have the results I was hoping for. We'll just have to push harder in 2022! The road ahead may still be long and difficult, but we mustn't give up, we need to find ways to become bigger and stronger!  https://t.co/MNpZKTEiCh",english,5,16,35,2021,31
fridaysforfuture,2021-12-31,12,"Week 70. This week I’m at the #FridaysForFuture climate strike in Stockholm. Thank you to my friend and wonderful forest activist @LBurnelius, for taking this pic with me. We need to cut carbon, not forests!  https://t.co/ctRXYzL6OK",english,9,42,201,2021,31
fridaysforfuture,2021-12-31,12,There is NO climate Justice without Gender Justice   #FridaysForFuture  ⁦@Riseupmovt⁩  https://t.co/2JcAdgMcSP,english,4,54,251,2021,31
fridaysforfuture,2021-12-31,12,Think About The Tipping Point. @Riseupmovt  #FridaysForFuture  https://t.co/QbMmIuT4HG,english,3,82,408,2021,31
"fridaysforfuture, climatestrike, uprootthesystem",2021-12-31,12,"School strike week 176. The climate crisis doesn’t go on holiday, so neither will we. #FridaysForFuture #ClimateStrike #UprootTheSystem  https://t.co/HAdmNkHzeu",english,474,2430,16170,2021,31
"climatejustice, fridaysforfuture",2021-12-31,12,"We wish everyone a safe, happy and healthy new year, and look forward to #2022 that brings us further down the road towards achieving #climatejustice. #FridaysForFuture  @GretaThunberg  https://t.co/YS4u1nMuAj",english,36,319,1633,2021,31
"schoolstrike, fridaysforfuture, uprootthesystem",2021-12-31,12,"Week 159 Final climate strike of 2021. Happy Hogmanay to fellow climate strikers around the world. Thankyou for your efforts on raising awareness this year. Let's keep fighting, shouting above the noise &amp; hope for better in 2022   #schoolstrike #FridaysForFuture #UprootTheSystem  https://t.co/mclA4vx9cL",english,3,23,58,2021,31
"fridaysforfuture, uprootthesystem, climatecrisis, climateaction, climateactionnow",2021-12-31,12,"Global warming could lead to an increase in pest insect population, harming yields of stable crops (corns, wheat, peas, beans among others). @UNFCCC @JanineClimate @Fridays4future @GretaThunberg #FridaysForFuture  #UprootTheSystem #ClimateCrisis #ClimateAction #ClimateActionNow  https://t.co/KTIb7owe1S",english,2,46,128,2021,31
"climatestrike, philippines, climatejustice, climatejustice, fridaysforfuture, uprootthesystem, climateactionnow",2021-12-31,12,Week 1 #ClimateStrike in #Philippines  We Demand #ClimateJustice ❗  I hope next year we will see real actions from our government to achieve #ClimateJustice. And we also need to do our part to save our home planet. ❤️🌏  #FridaysForFuture #UprootTheSystem #ClimateActionNow  https://t.co/zedxsJLvlM,english,7,41,85,2021,31
"womensclimatestrike, fridaysforfuture, fossilfuellockdown",2021-12-31,12,"On the last strike of 2021, Glossop #WomensClimateStrike &amp; #FridaysForFuture respond to the potential collapse of the Thwaites ice shelf in the next 5 years &amp; what it means for the coastal cities of the world. It's now too late for a slow transition. We need a #FossilFuelLockdown  https://t.co/doYjBid3ma",english,5,35,132,2021,31
"noplanetb, climateactionnow, fridaysforfuture",2021-12-31,12,Climate strike week 58 Being the last friday of the year i believe next year we would demand more climate action than just talk! Its our right to fight for climate justice. #NoPlanetB #ClimateActionNow  #FridaysForFuture @vanessa_vash @GretaThunberg @fridays_kenya  https://t.co/Lphf1ZdcQm,english,5,96,377,2021,31
"mindthegap, uprootthesystem, fridaysforfuture, nomoreemptypromises",2021-12-31,12,SKOLSTREJK FÖR KLIMATET  sChOoL sTrIkE wEeK 31  (Good Bye 2021😩😹😹)  #MindTheGap #uprootthesystem #fridaysforfuture #nomoreemptypromises  https://t.co/zxOnhsX7uB,swedish,2,12,45,2021,31
"fridaysforfuture, climateaction, schoolstrikeforclimate",2021-12-31,12,My week 54 for climate change. #FridaysForFuture  #ClimateAction  #SchoolStrikeForClimate  https://t.co/PnqoTtzUVt,english,2,13,85,2021,31
"climateaction, happynewyear2022, fridaysforfuture, schoolstrike4climate, stopeacop",2021-12-31,12,It's not too late to accept that climate change is real and start doing something about it. I hope to see more serious #ClimateAction in 2022.  #HappyNewYear2022  #FridaysForFuture  #schoolstrike4climate Week 15 #StopEACOP  https://t.co/l9hZrxoIEU,english,5,78,286,2021,31
"fridaysforfuture, parisagreement, endallfossilfuels",2021-12-31,12,"For the 53rd time this year, we are joining #Fridaysforfuture in front of the Finnish parliament. Our message remains the same: - No one is too small too make a difference - The science is clear - Implement the #parisagreement - #EndAllFossilFuels  https://t.co/DTvAbwP6Vu",english,2,17,33,2021,31
fridaysforfuture,2021-12-31,12,No time left for blah blah What I stand for is what I stand on @Riseupmovt  @vanessa_vash  @eve_chantel  #fridaysforfuture  https://t.co/ZzCpjJZqy0,english,53,535,2367,2021,31
"bangladesh, fridaysforfuture, climatestrike, climatejustice",2021-12-31,12,Japanese companies such as Sumitomo Corporation and the Japanese government are constructing a coal-fired power plant in #Bangladesh.  #FridaysForFuture #ClimateStrike #ClimateJustice  https://t.co/Y8177SBxrs,english,2,10,10,2021,31
"bangladesh, climatestrike, fridaysforfuture, uprootthesystem",2021-12-31,12,"We demand Sumitomo Corporation &amp; Japan International Cooperation Agency stop building the Matarbari Coal Power Plant in #Bangladesh. 20,000 people dispossessed, 2 workers died, under this ""international cooperation"" project.  #ClimateStrike #FridaysForFuture #UprootTheSystem  https://t.co/TV2WzuPAFB",english,2,84,220,2021,31
"climateemergency, fridays4future, fridaysforfuture",2021-12-31,12,Still true:  https://t.co/GmHTbcfTd8 #ClimateEmergency #Fridays4Future #FridaysForFuture Immer noch wahr:  https://t.co/4NT5JbfLK4,german,7,39,177,2021,31
boellerverbot,2021-12-31,12,"An alle Menschen die so etwas wie ein ""Feuerwerksbudget"" besitzen, spendet euer Geld doch lieber an ein Kinderhospiz, ein Tierheim, @ZIVD_eV, @FridayForFuture, @seawatchcrew, @Moabithilft, @sea_punks, @AmadeuAntonio, @akubiz @WWF_Deutschland oder andere! Danke!🙏🏻 #Boellerverbot  https://t.co/AV7SccTp6B",german,15,59,294,2021,31
"climatestrike, climatestrikeonline, climateactionnow, fridaysforfuture",2021-12-31,12,My week 92 #ClimateStrike HAPPY 2022 #ClimateStrikeOnline #ClimateActionNow #FridaysForFuture  https://t.co/JuVyPKoOXl,english,18,205,1257,2021,31
"climatestrike, climateactionnow, fridaysforfuture",2021-12-31,12,"Week 66th #ClimateStrike  To whomever it may concern, no politics on dead planet. #ClimateActionNow #FridaysForFuture  https://t.co/cofcoUNanl",english,30,252,1172,2021,31
