Id,Count,Named,Original
fridaysforfuture,11712,#FridayForFuture,fridaysforfuture
climatestrike,5194,Action,climatestrike
climateaction,3894,Action,climateaction
climatecrisis,3804,#FridayForFuture,climatecrisis
climateemergency,3379,#FridayForFuture,climateemergency
climatechange,2914,#FridayForFuture,climatechange
climatejustice,2856,#FridayForFuture,climatejustice
climatestrikeonline,2625,Action,climatestrike
klimastreik,2622,Action,klimastreik
fridayforfuture,2569,#FridayForFuture,fridayforfuture
klimaschutz,2530,FFF DE,klimaschutz
klimakrise,2371,FFF DE,klimakrise
gretathunberg,2284,Greta Thunberg,gretathunberg
climateactionnow,2239,Action,climateaction
peoplenotprofit,2160,Action,peoplenotprofit
nomoreemptypromises,2104,Action,nomoreemptypromises
fff,2091,#FridayForFuture,fff
uprootthesystem,1991,#FridayForFuture,uprootthesystem
climate,1986,#FridayForFuture,climate
extinctionrebellion,1954,#FridayForFuture,extinctionrebellion
cop26,1906,Agreement,cop26
globalclimatestrike,1898,Action,climatestrike
klimawandel,1891,FFF DE,klimawandel
schoolstrike4climate,1850,Action,schoolstrike4climate
fightfor1point5,1838,#FridayForFuture,fightfor1point5
actnow,1760,Action,actnow
facetheclimateemergency,1749,#FridayForFuture,climateemergency
covid19,1615,Covid,covid19
digitalstrike,1597,Action,digitalstrike
cop25,1475,Agreement,cop25
klima,1406,FFF DE,klima
co2,1303,Material,co2
verkehrswende,1224,FFF DE,verkehrswende
berlin,1215,FFF DE,berlin
neustartklima,1179,FFF DE,klima
covid_19,1168,Covid,covid_19
kohleausstieg,1158,FFF DE,kohleausstieg
corona,1143,Covid,corona
earthday,1121,#FridayForFuture,earthday
keingradweiter,1117,FFF DE,keingradweiter
datteln4,1067,FFF DE,datteln4
klimapaket,1047,FFF DE,klima
spd,1033,German politics,spd
allefürsklima,1030,FFF DE,klima
actonclimate,1028,#FridayForFuture,climate
parisagreement,1017,Agreement,parisagreement
merkel,1014,German politics,merkel
fridayfeeling,1007,#FridayForFuture,fridayfeeling
gas,1005,Material,gas
energiewende,1000,FFF DE,energiewende
fightclimateinjustice,993,#FridayForFuture,climate
klimagerechtigkeit,990,FFF DE,klima
groko,969,German politics,groko
fighteverycrisis,938,#FridayForFuture,fighteverycrisis
greta,929,Greta Thunberg,greta
coronavirus,925,Covid,corona
mindthegap,919,Agreement,mindthegap
fossilfuels,902,Material,fossilfuels
klimakatastrophe,901,FFF DE,klima
allefuersklima,894,FFF DE,klima
grünen,875,German politics,grünen
klimanotstand,869,FFF DE,klima
laschet,864,German politics,laschet
klimawahl,852,FFF DE,klima
afd,836,German politics,afd
environment,817,unamed,environment
cdu,816,German politics,cdu
globalstrike,811,unamed,globalstrike
greennewdeal,811,Agreement,greennewdeal
globalwarming,807,#FridayForFuture,globalwarming
siemens,796,unamed,siemens
klimapolitik,790,FFF DE,klima
endegelände,783,DE Actions,endegelände
savecongorainforest,769,unamed,savecongorainforest
klimaziele,761,FFF DE,klima
fridaymotivation,756,#FridayForFuture,fridaymotivation
earth,751,unamed,earth
antifa,739,unamed,antifa
sustainability,737,unamed,sustainability
parentsforfuture,727,unamed,parentsforfuture
rwe,726,German politics,rwe
deutschland,723,FFF DE,deutschland
bundestag,719,German politics,bundestag
flattenthecurve,718,unamed,flattenthecurve
ipcc,715,Agreement,ipcc
ampel,710,DE Actions,ampel
dannibleibt,709,DE Actions,dannibleibt
eu,700,unamed,eu
noafd,697,German politics,afd
klimaschutzgesetz,696,FFF DE,klimaschutz
stopadani,695,unamed,stopadani
lützerath,689,DE Actions,lützerath
bundesregierung,685,German politics,bundesregierung
climatejusticenow,681,#FridayForFuture,climatejustice
endegelaende,677,FFF DE,endegelaende
alledörferbleiben,671,DE Actions,alledörferbleiben
biodiversity,668,unamed,biodiversity
climatechangeisreal,664,#FridayForFuture,climatechange
netzstreikfürsklima,661,FFF DE,klima
windkraft,657,FFF DE,windkraft
blackfriday,656,#FridayForFuture,friday
atomkraft,641,unamed,atomkraft
tempolimit,639,unamed,tempolimit
defendthedefenders,639,unamed,defendthedefenders
scholz,639,unamed,scholz
hambacherforst,636,unamed,hambacherforst
schoolstrike,634,unamed,schoolstrike
fridaythoughts,624,#FridayForFuture,fridaythoughts
notmyklimapaket,619,FFF DE,klima
renewableenergy,617,unamed,renewableenergy
trump,617,unamed,trump
coronakrise,615,Covid,corona
systemchangenotclimatechange,614,#FridayForFuture,climatechange
howdareyou,611,unamed,howdareyou
 cop25,595,Agreement,cop25
nature,594,unamed,nature
greendeal,591,Agreement,greendeal
blacklivesmatter,579,unamed,blacklivesmatter
umweltsau,577,unamed,umweltsau
floods,576,unamed,floods
renewables,573,unamed,renewables
