Source,Target,Count
macos,python,14
macos,zsh,57
macos,compression,3
macos,tar,3
macos,crash,3
macos,windows-10,35
macos,memory,3
macos,docker,8
macos,windows,46
macos,uninstall,2
macos,powershell,2
macos,command-line,35
macos,7-zip,1
macos,gui,2
macos,remote-desktop,11
macos,youtube,1
macos,icons,1
macos,google-chrome,49
macos,security,11
macos,internet,3
macos,linux,49
macos,audio,15
macos,duplicate,1
macos,dns,14
macos,firefox,23
macos,tabs,3
macos,filesystems,12
macos,file-management,3
macos,fonts,3
macos,mouse,11
macos,ffmpeg,16
macos,video,12
macos,video-conversion,1
macos,keyboard-shortcuts,59
macos,autohotkey,1
macos,ssh,37
macos,cloudflare,1
macos,wsl2,1
macos,wireless-networking,11
macos,router,11
macos,wireless-router,2
macos,hotspot,1
macos,bash,47
macos,unix,16
macos,putty,1
macos,installation,15
macos,git,16
macos,logging,4
macos,tmux,8
macos,administrator,5
macos,networking,60
macos,desktop-computer,1
macos,window,5
macos,windows-11,3
macos,ssl-certificate,1
macos,drivers,3
macos,ntfs,2
macos,website,2
macos,cpu,5
macos,temperature,1
macos,comments,2
macos,gnupg,6
macos,ubuntu,21
macos,power,1
macos,alt-tab,2
macos,vpn,25
macos,windows-subsystem-for-linux,1
macos,microsoft-excel,13
macos,virtualbox,23
macos,email,5
macos,usb,7
macos,usb-c,1
macos,regex,4
macos,boot,8
macos,partitioning,15
macos,multiple-monitors,15
macos,hdmi,1
macos,themes,3
macos,hostname,1
macos,vlc-media-player,5
macos,microsoft-word,15
macos,data-recovery,7
macos,cache,1
macos,microsoft-edge,3
macos,csv,3
macos,ping,4
macos,port,2
macos,home-networking,1
macos,isp,1
macos,sd-card,1
macos,micro-sd-card,2
macos,hard-drive,16
macos,sata,1
macos,windows-xp,2
macos,microsoft-outlook,10
macos,user-accounts,2
macos,disk-space,3
macos,ubuntu-20.04,2
macos,ssd,13
macos,file-transfer,2
macos,storage,2
macos,performance,3
macos,libreoffice,1
macos,external-display,3
macos,dpi,1
macos,gateway,1
macos,virus,1
macos,malware,4
macos,prompt,1
macos,process,2
macos,daemon,1
macos,ethernet,5
macos,windows-server,1
macos,macos-catalina,45
macos,hardware-failure,1
macos,cpu-usage,1
macos,pdf,5
macos,browser,17
macos,colors,5
macos,accessibility,5
macos,hardware-detection,1
macos,windows-7,1
macos,backup,19
macos,permissions,23
macos,connection,1
macos,usb-flash-drive,1
macos,battery,5
macos,virtual-machine,19
macos,lan,2
macos,locate,1
macos,cpu-architecture,1
