Source,Target,Count
'poverty', 'gtto',1
'poverty', 'johnsontheliar',1
'poverty', 'climatechange',3
'poverty', 'savetheworld',1
'poverty','climatecrisis',1
'poverty', 'climateemergency',1
'poverty','climateemergency',1
'poverty','climatechange',1
'poverty','climateaction',1
'poverty', 'climatecrisis',1
'poverty','ge2022',1
'poverty', 'bbcqt',1
'poverty', 'goodmusic',1
'poverty', 'musiclife',1
'poverty', 'musicmake',1
'poverty', 'newmusic',1
'poverty', 'musicvideo',1
'poverty','viralvideo',1
'poverty', 'johnsonthecorruptpm',1
'poverty', 'torybritain',1
'poverty','video',1
'poverty', 'johnsonout',1
'poverty', 'suegray',1
'poverty','unsigned',1
'poverty', 'ge2022',1
'poverty', 'climatecatastrophe',1
'poverty','music',1
'poverty', 'toriesout',1
'poverty','energycrisis',1
'poverty', 'sunakout',1
'poverty','workingfromhome',1
'poverty','independantartist',1
'poverty','suegray',1
'poverty', 'listening',1
'poverty', 'torysleaze',1
'poverty', 'health',1
'poverty','johnsonmustgo',1
'poverty','newsnight',1
'poverty','borisjohnsonresign',1
'poverty','listening',1
'poverty', 'viralvideo',1
'poverty','gtto',1
'poverty', 'foodbanks',1
'poverty','musicvideo',1
'poverty', 'unsignedhype',1
'poverty', 'energycrisis',1
'poverty', 'education',1
'poverty','viral',1
'poverty', 'music',1
'poverty', 'harmonica',1
'poverty', 'bluesharp',1
'poverty','moviemusic',1
'poverty','corruptiongreedandlies',1
'poverty', 'borisjohnsonresign',1
'poverty','unsignedhype',1
'poverty','beats',1
'poverty', 'toriesunfittogovern',1
'poverty','torybritain',1
'poverty', 'climatejusticenow',1
'poverty', 'poverty',1
'poverty', 'lossanddamage',1
'poverty','johnsontheliar',1
'poverty', 'johnsonmustgo',1
'poverty', 'torybudgetingtips',1
'poverty','homeless',1
'poverty', 'brexit',1
'poverty','followback',1
'poverty', 'beats',1
'poverty','costoflivingcrisis',1
'poverty','suegrayreportnow',1
'poverty', 'newsnight',1
'poverty', 'inequality',1
'poverty', 'reparationsnow',1
'poverty','torysleaze',1
'poverty', 'viral',1
'poverty', 'followback',1
'poverty', 'suegrayreportnow',1
'poverty','toriesunfittogovern',1
 'gtto', 'johnsontheliar',1
 'gtto', 'climatechange',1
 'gtto', 'savetheworld',1
 'gtto','climatecrisis',1
 'gtto', 'climateemergency',1
 'gtto','climateemergency',1
 'gtto','climatechange',1
 'gtto','climateaction',1
 'gtto','ge2022',1
 'gtto', 'bbcqt',1
 'gtto', 'goodmusic',1
 'gtto', 'musiclife',1
 'gtto', 'musicmake',1
 'gtto', 'newmusic',1
 'gtto', 'musicvideo',1
 'gtto','viralvideo',1
 'gtto', 'johnsonthecorruptpm',1
 'gtto', 'torybritain',1
 'gtto','video',1
 'gtto', 'johnsonout',1
 'gtto', 'suegray',1
 'gtto','unsigned',1
 'gtto', 'ge2022',1
 'gtto','music',1
 'gtto', 'toriesout',1
 'gtto','energycrisis',1
 'gtto', 'sunakout',1
 'gtto','workingfromhome',1
 'gtto','independantartist',1
 'gtto','suegray',1
 'gtto', 'listening',1
 'gtto', 'torysleaze',1
 'gtto','johnsonmustgo',1
 'gtto','newsnight',1
 'gtto','borisjohnsonresign',1
 'gtto','listening',1
 'gtto', 'viralvideo',1
 'gtto','gtto',1
 'gtto','musicvideo',1
 'gtto', 'unsignedhype',1
 'gtto', 'energycrisis',1
 'gtto','viral',1
 'gtto', 'music',1
 'gtto', 'harmonica',1
 'gtto', 'bluesharp',1
 'gtto','moviemusic',1
 'gtto','corruptiongreedandlies',1
 'gtto', 'borisjohnsonresign',1
 'gtto','unsignedhype',1
 'gtto','beats',1
 'gtto', 'toriesunfittogovern',1
 'gtto','torybritain',1
 'gtto', 'poverty',1
 'gtto','johnsontheliar',1
 'gtto', 'johnsonmustgo',1
 'gtto', 'torybudgetingtips',1
 'gtto','homeless',1
 'gtto', 'brexit',1
 'gtto','followback',1
 'gtto', 'beats',1
 'gtto','costoflivingcrisis',1
 'gtto','suegrayreportnow',1
 'gtto', 'newsnight',1
 'gtto','torysleaze',1
 'gtto', 'viral',1
 'gtto', 'followback',1
 'gtto', 'suegrayreportnow',1
 'gtto','toriesunfittogovern',1
 'johnsontheliar', 'climatechange',1
 'johnsontheliar', 'savetheworld',1
 'johnsontheliar','climatecrisis',1
 'johnsontheliar', 'climateemergency',1
 'johnsontheliar','climateemergency',1
 'johnsontheliar','climatechange',1
 'johnsontheliar','climateaction',1
 'johnsontheliar','ge2022',1
 'johnsontheliar', 'bbcqt',1
