Source,Target,Count
'tacoma', 'pride',1
'tacoma', 'medicareforall',1
'tacoma', 'sign1471',1
 'pride', 'medicareforall',1
 'pride', 'sign1471',1
 'pride', 'equality',4
 'pride', 'usa',1
 'pride', 'fashion',2
 'pride', 'lgbtq',338
 'pride', 'marchadelorgullo',1
 'pride', 'cosplay',2
 'pride','qatar',1
 'pride', 'boycottqatar2022',1
 'pride', 'lgbt',75
 'pride', 'pridemonth',160
 'pride', 'trans',15
 'pride', 'transpride',1
 'pride', 'humanrights',3
 'pride', 'worldcup2022',1
 'pride', 'worldcup',1
 'pride', 'conservativeleadership',1
 'pride', 'asylum',1
 'pride','lgbtq',141
 'pride', 'republicans',1
 'pride','f1',2
 'pride', 'austriangp',1
 'pride', 'roevwade',1
 'pride', 'renewgentlemanjack',2
 'pride', 'orgullo',3
 'pride','lgbt',9
 'pride','heterosupremacy',1
 'pride', 'heteroarrogance',1
 'pride', 'lgbtrights',1
 'pride', 'lgbtqequality',1
 'pride','palmsprings',1
 'pride', 'pool',1
 'pride', 'travel',1
 'pride', 'friends',1
 'pride', 'lgbtqia',48
 'pride','londontranspride',2
 'pride', 'nonbinary',5
 'pride', 'cdnpoli',3
 'pride', 'climatechange',1
 'pride', 'abortionishealthcare',2
 'pride', 'gop',2
 'pride', 'transrights',2
 'pride','islamist',1
 'pride', 'christian',3
 'pride', 'isis',1
 'pride', 'family',1
 'pride', 'writingcommunity',2
 'pride', 'queer',19
 'pride', 'news',1
 'pride', 'fresh',1
 'pride', 'saygay',2
 'pride','podcast',2
 'pride', 'banning',1
 'pride', 'diverse',1
 'pride', 'mg',1
 'pride', 'pb',2
 'pride', 'books',5
 'pride', 'stories',1
 'pride', 'diversity',5
 'pride', 'comingofage',1
 'pride', 'twitch',2
 'pride', 'twitchstreamer',2
 'pride', 'vrchat',1
 'pride','nftcommunity',4
 'pride', 'nft',8
 'pride', 'nftproject',1
 'pride','criminallaw',1
 'pride', 'justice',2
 'pride', 'lawenforcement',1
 'pride','voteblue',2
 'pride', 'church',1
 'pride', 'pride2022',118
 'pride', 'women',1
