backoff,has_more,page,quota_max,quota_remaining,total,items
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'hebrew'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 5, 'name': 'expired'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'concurrent-h1b'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'housekeeping'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 5, 'name': 'canadian-permanent-residents'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 3, 'name': 'tijuana'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'opo'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 5, 'name': 'electric-vehicle'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 19, 'name': 'permesso-di-soggiorno'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'wisconsin'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'name'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'namibian-citizens'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'indiabubble'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'long-stay-visasvisa'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'thai-airways'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'add'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'viva-aerobus'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'tij'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'volaris'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'nicop'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'nadra'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'mexican-residents'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'arrivecan'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'monterrey'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'san-antonio'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 3, 'name': 'british'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 5, 'name': 'el-salvador'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'trans-mongolian'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'sao-tome-and-principe'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'advance-passenger-information'}"
0,False,1,10000,9999,0,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'micro-states'}"
